date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:27:00	67904/67904	---M--	200	added ('OK')	font/woff	date:Fri,%2030%20Aug%202019%2004:45:30%20GMT	https://dayday.plus/wp-content/themes/minimal-grid/assets/lib/ionicons/fonts/ionicons.woff?v=2.0.0	H:/DayDay.Plus/2019-12-10/dayday.plus/wp-content/themes/minimal-grid/assets/lib/ionicons/fonts/ionicons28b5.woff	(from https://dayday.plus/wp-content/themes/minimal-grid/assets/lib/ionicons/css/ionicons.min.css?ver=4.9.12)
23:27:01	188508/188508	---M--	200	added ('OK')	font/ttf	date:Fri,%2030%20Aug%202019%2004:45:30%20GMT	https://dayday.plus/wp-content/themes/minimal-grid/assets/lib/ionicons/fonts/ionicons.ttf?v=2.0.0	H:/DayDay.Plus/2019-12-10/dayday.plus/wp-content/themes/minimal-grid/assets/lib/ionicons/fonts/ionicons28b5.ttf	(from https://dayday.plus/wp-content/themes/minimal-grid/assets/lib/ionicons/css/ionicons.min.css?ver=4.9.12)
23:27:01	20127/20127	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Fri,%2030%20Aug%202019%2004:45:30%20GMT	https://dayday.plus/wp-content/themes/minimal-grid/assets/lib/bootstrap/fonts/glyphicons-halflings-regular.eot	H:/DayDay.Plus/2019-12-10/dayday.plus/wp-content/themes/minimal-grid/assets/lib/bootstrap/fonts/glyphicons-halflings-regular.eot	(from https://dayday.plus/wp-content/themes/minimal-grid/assets/lib/bootstrap/css/bootstrap.min.css?ver=4.9.12)
23:27:01	20127/20127	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Fri,%2030%20Aug%202019%2004:45:30%20GMT	https://dayday.plus/wp-content/themes/minimal-grid/assets/lib/bootstrap/fonts/glyphicons-halflings-regular.eot?	H:/DayDay.Plus/2019-12-10/dayday.plus/wp-content/themes/minimal-grid/assets/lib/bootstrap/fonts/glyphicons-halflings-regulard41d.eot	(from https://dayday.plus/wp-content/themes/minimal-grid/assets/lib/bootstrap/css/bootstrap.min.css?ver=4.9.12)
23:27:01	18028/18028	---M--	200	added ('OK')	font/woff2	date:Fri,%2030%20Aug%202019%2004:45:30%20GMT	https://dayday.plus/wp-content/themes/minimal-grid/assets/lib/bootstrap/fonts/glyphicons-halflings-regular.woff2	H:/DayDay.Plus/2019-12-10/dayday.plus/wp-content/themes/minimal-grid/assets/lib/bootstrap/fonts/glyphicons-halflings-regular.woff2	(from https://dayday.plus/wp-content/themes/minimal-grid/assets/lib/bootstrap/css/bootstrap.min.css?ver=4.9.12)
23:27:01	23424/23424	---M--	200	added ('OK')	font/woff	date:Fri,%2030%20Aug%202019%2004:45:30%20GMT	https://dayday.plus/wp-content/themes/minimal-grid/assets/lib/bootstrap/fonts/glyphicons-halflings-regular.woff	H:/DayDay.Plus/2019-12-10/dayday.plus/wp-content/themes/minimal-grid/assets/lib/bootstrap/fonts/glyphicons-halflings-regular.woff	(from https://dayday.plus/wp-content/themes/minimal-grid/assets/lib/bootstrap/css/bootstrap.min.css?ver=4.9.12)
23:27:02	45404/45404	---M--	200	added ('OK')	font/ttf	date:Fri,%2030%20Aug%202019%2004:45:30%20GMT	https://dayday.plus/wp-content/themes/minimal-grid/assets/lib/bootstrap/fonts/glyphicons-halflings-regular.ttf	H:/DayDay.Plus/2019-12-10/dayday.plus/wp-content/themes/minimal-grid/assets/lib/bootstrap/fonts/glyphicons-halflings-regular.ttf	(from https://dayday.plus/wp-content/themes/minimal-grid/assets/lib/bootstrap/css/bootstrap.min.css?ver=4.9.12)
23:27:02	4598/4598	---M--	200	added ('OK')	image/svg+xml	date:Tue,%2001%20Aug%202017%2002:13:52%20GMT	https://dayday.plus/wp-includes/js/mediaelement/mejs-controls.svg	H:/DayDay.Plus/2019-12-10/dayday.plus/wp-includes/js/mediaelement/mejs-controls.svg	(from https://dayday.plus/wp-includes/js/mediaelement/mediaelementplayer-legacy.min.css?ver=4.2.6-78496d1)
23:27:02	2632/2632	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Sun,%2004%20Aug%202019%2002:58:37%20GMT	https://dayday.plus/wp-content/plugins/tablepress/css/tablepress.eot	H:/DayDay.Plus/2019-12-10/dayday.plus/wp-content/plugins/tablepress/css/tablepress.eot	(from https://dayday.plus/wp-content/plugins/tablepress/css/default.min.css?ver=1.9.2)
23:27:03	2632/2632	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Sun,%2004%20Aug%202019%2002:58:37%20GMT	https://dayday.plus/wp-content/plugins/tablepress/css/tablepress.eot?	H:/DayDay.Plus/2019-12-10/dayday.plus/wp-content/plugins/tablepress/css/tablepressd41d.eot	(from https://dayday.plus/wp-content/plugins/tablepress/css/default.min.css?ver=1.9.2)
